size,naive,better,blas
164,17781555,15037893,2422893
164,17743587,15021377,2346269
164,17703320,14960147,2295110
164,17683567,14961183,2295925
164,17702598,14915593,2298904
164,17852859,14910803,2348694
164,17702653,14996194,2297467
164,17767242,15117652,2299182
164,18304004,15008609,2300385
164,17798656,14965879,2345826
165,18158166,15269437,2303929
165,18100950,15221480,2295712
165,18122786,15206603,2343412
165,18265956,15361868,2299071
165,18067994,15363144,2298628
165,18063690,15276780,2294049
165,18248429,15205025,2298123
165,18074113,15205672,2291925
165,18067239,15217729,2295929
165,18189272,15179865,2311101
166,23482572,22864206,2578616
166,21026483,16133200,2365216
166,18464347,15528085,2369225
166,18331871,15610014,2366966
166,19352042,16011804,2365732
166,18449126,15579732,2365675
166,18405339,15561065,2366726
166,18498419,15648129,2367283
166,21456615,16981146,2553580
166,18967799,15609809,2419527
167,18554809,15736518,2392392
167,18562969,16010951,3049937
167,22152774,17159387,2493702
167,19043166,15795873,2384631
167,19796464,17111308,2392103
167,18684716,15690463,2379784
167,18483650,15883716,2438872
167,18594765,15789648,2459129
167,18566252,15660299,2390140
167,18641991,15798652,2439995
168,19044227,16112248,2488961
168,19076564,16308879,2695031
168,18822512,16157546,2428893
168,18875626,16066466,2431268
168,18928288,16030069,2560822
168,19297815,17591100,3736048
168,27177991,17434385,2559328
168,19936344,18682938,3242083
168,20120879,16839941,2430036
168,18963971,16104978,2427713
169,19324751,16376206,2527599
169,19253192,16603714,2474307
169,19387477,16361693,2475766
169,19421435,16391103,2475762
169,19275821,16315864,2480804
169,19406907,16435637,2759230
169,19291453,16378066,2480957
169,19282881,16325347,2474350
169,19255505,16337120,2475189
169,19482382,20322976,3367902
170,21058049,16659183,2577802
170,19725046,16733894,2520912
170,19615543,16681864,2575109
170,19776587,17198420,2523385
170,19726326,16604381,2587097
170,19632985,16671187,2522192
170,19658270,16716404,2569747
170,19555571,16618021,2522565
170,19749603,16574940,2584178
170,19675689,16565594,2529065
171,20019018,23304965,5576785
171,23022625,17715795,2594752
171,20574202,17165123,2644024
171,20000650,17081473,2592234
171,19997937,16991167,2592904
171,20034284,16934021,2597734
171,20042519,17011418,2589332
171,20053476,21004176,2643746
171,20008355,17056897,2593058
171,19983512,17039538,2590435
172,20398671,17315143,2613691
172,20449373,17366803,2632525
172,20398186,17277400,2626440
172,20425598,18894527,2631097
172,20400815,17250503,2616102
172,20442386,17434058,2620318
172,20428299,17337057,2627560
172,20373323,17272656,2682909
172,20431355,17302892,2616288
172,20409486,17681037,2617769
173,20814544,17602375,2693544
173,20807352,17612417,2697764
173,20843245,17666372,2744493
173,20739159,17620307,2691310
173,26768288,25964105,2936531
173,23146186,18164534,2906481
173,20969721,17555733,2687820
173,20859970,18242251,2734193
173,20755187,17582285,2690300
173,20687867,17633156,2687198
174,21219744,17909241,3316012
174,22519997,18448459,2723008
174,21094528,17778554,2817681
174,21113150,17875379,2723879
174,21357409,18019012,2717168
174,21145969,17973133,2775059
174,21070930,19582190,2862911
174,21307361,17884383,2717281
174,21296416,18078380,2723544
174,21168436,17992799,2814397
175,21567678,18178176,2778469
175,21565559,18262674,2771201
175,21679092,18312694,2781648
175,21539860,18240962,2824801
175,21480118,18228510,2779365
175,21551741,18267895,2781243
175,21556694,18160217,2831670
175,34848043,19964923,2977533
175,22858365,18445870,2779848
175,21668562,18174645,2777309
176,21901051,18575109,2819692
176,21885313,21537855,2823887
176,21990630,18596297,2829286
176,22152275,18600286,2829230
176,21990942,18527040,2823421
176,21964179,18627089,2825944
176,21949661,18606661,2884961
176,21956285,18566647,2828535
176,22018237,18619183,2829820
176,25595200,18758068,2825498
177,22546667,18939652,3052800
177,22691210,18939799,2869955
177,22366961,18930779,2868885
177,22466911,18926192,2905069
177,22469419,18890803,2868544
177,22418093,19805548,3841352
177,26787007,19676143,2978254
177,22604681,18956702,2868193
177,22354469,21855145,3153289
177,31704935,20344380,3074513
178,23612906,19178642,2938253
178,22766553,19891125,2935735
178,23698615,19201947,2987012
178,22991601,19342873,2934931
178,22721851,19415559,2991923
178,22736155,19303129,2985471
178,22690075,19230219,2936705
178,22702655,19238261,2939862
178,22746761,19221389,2935314
178,22772798,19198152,2936768
179,24691344,19544036,3046695
179,23346713,19684180,2984347
179,23377389,19559541,2979421
179,23305398,19589191,2980875
179,23322471,19733492,2982558
179,23422369,19765849,2980590
179,23318608,19666514,3000525
179,23274073,19541548,2979561
179,23317600,19692989,2979085
179,23309932,20009950,5710763
180,34036281,21479542,3317448
180,24572124,19861869,3032517
180,23789163,19910820,3034129
180,23608720,19902301,3084493
180,23722751,19955201,3085716
180,23816852,20007131,3031145
180,23753069,19958709,3032382
180,23659374,19940552,3083312
180,23675253,19964247,3031762
180,23658634,19938652,3053145
181,24030994,21356837,3410732
181,24194491,20352949,3084540
181,24193988,20317540,3083380
181,24166688,20400467,3131171
181,24185368,20248312,3083409
181,24184894,20272393,3139178
181,24329127,20235832,3129827
181,24035668,20295587,3129422
181,24485102,20388586,3084687
181,24205823,20232270,3083530
182,33911769,26970870,3334332
182,26261646,21473068,3198909
182,24809200,20670281,3134856
182,26743401,20561106,3133712
182,24545027,20714436,3135829
182,24628442,20810641,3140666
182,25491393,20785904,3132998
182,25084717,20796705,3240924
182,27124432,24554481,4082280
182,26165800,21625888,3132640
183,26998859,27504070,3396161
183,26090190,21131591,3182666
183,24849781,20804787,3235089
183,24755518,20823086,3285726
183,24863135,20839625,3185845
183,24900751,20922581,3183119
183,24760284,20805689,3185013
183,24804709,20925067,3181937
183,24863913,20925836,3182959
183,25417175,30540567,3657139
184,27044557,22049832,3366823
184,25256353,21257647,3241177
184,25066956,21374443,3248852
184,25170567,21244137,3250196
184,25183158,21221344,3246629
184,25396177,21286557,3246052
184,25115462,21227917,3280296
184,25037698,21297566,3247625
184,25154352,21280737,3288677
184,25633053,22719915,4053218
185,26053081,23820594,3372101
185,25884257,21719739,3292068
185,26182120,21548133,3289961
185,25611715,21628377,3340753
185,28549513,21904119,3339622
185,26259467,21678651,3335200
185,25591882,21489664,3337977
185,26091245,21551318,3287815
185,25564154,32361564,3625394
185,27273303,22391779,3270968
186,26119852,21910526,3343975
186,26034598,22000273,3343078
186,26198695,22047785,3348234
186,26036679,21980128,3342489
186,26028395,21886626,3396268
186,26080497,21948194,3345223
186,26094687,21852853,3347697
